TIME,VO2,VO2/kg,METS,VCO2,VE,RER,RR,Vt,FEO2,FECO2,HR,VE/VO2,VE/VCO2,PetCO2,PO,
,STPD,STPD,,STPD,BTPS,,,BTPS,,,,,,,,
min,L/min,ml/kg/m,,L/min,L/min,,BPM,L,%,%,bpm,BT/ST,BT/ST,mmHg,W,Lactate
----------,,,,,,,,,,,,,,,,
0.514,1.45929,16.582838,4.737954,1.112682,41.919689,0.762482,21.400778,1.958793,16.275774,3.774875,87,28.726089,37.67445,25.064108,50,
1.022167,1.504223,17.093439,4.88384,1.160519,42.43486,0.771507,21.646441,1.960362,16.18129,3.888129,89,28.210491,36.565426,26.06485,50,
1.519834,1.555103,17.671625,5.049036,1.147277,41.991577,0.73775,22.103148,1.899801,16.005651,3.884471,84,27.002441,36.601089,25.945581,50,
2.012334,1.745615,19.836536,5.667582,1.338574,46.513016,0.766821,16.243654,2.863458,15.907585,4.089391,92,26.64563,34.748173,27.30979,50,
2.532,1.667379,18.947485,5.413567,1.274816,43.739609,0.764563,23.091724,1.894168,15.831031,4.141047,91.5,26.232559,34.310535,27.46681,50,2.3
3.035667,1.632267,18.548485,5.299567,1.24489,45.64975,0.762676,21.839842,2.090205,16.149261,3.877208,86,27.967091,36.669708,25.841257,125,
3.5025,1.81819,20.661253,5.903215,1.374394,49.003513,0.755913,21.420919,2.287647,15.976556,3.986471,94,26.951805,35.654636,26.431112,125,
4.033833,2.134393,24.254469,6.929848,1.626248,57.404961,0.761925,26.348808,2.178655,15.959549,4.026214,99,26.895214,35.299011,26.932281,125,
4.529832,2.295791,26.088533,7.453866,1.817946,60.387909,0.79186,22.17742,2.722946,15.814274,4.275898,105,26.303749,33.217655,28.339865,125,
5.019832,2.377771,27.020124,7.720036,1.955959,63.075264,0.822602,20.408165,3.090688,15.823215,4.403218,109,26.527058,32.247746,29.279306,125,
5.516665,2.426649,27.575562,7.878732,2.001432,64.252724,0.824772,20.127474,3.19229,15.81133,4.422834,111.5,26.477961,32.103382,29.672346,125,2.4
6.008165,2.378317,27.026325,7.721807,2.029126,66.269531,0.853177,22.380468,2.961043,16.035936,4.34818,109,27.864048,32.659153,28.810324,150,
6.5365,2.389503,27.153446,7.758128,2.005905,66.853951,0.839465,24.605679,2.717013,16.070335,4.261681,110,27.97818,33.328571,28.408213,150,
7.042833,2.559072,29.080366,8.308676,2.133003,68.171074,0.833507,19.749834,3.451729,15.832615,4.442455,113,26.638979,31.960133,29.729633,150,
7.512333,2.604054,29.591528,8.454722,2.201277,69.806564,0.845327,21.299253,3.277418,15.851554,4.476895,119,26.806875,31.711842,29.811775,150,
8.005667,2.66123,30.241249,8.640357,2.26796,71.768044,0.852222,20.270269,3.540557,15.874367,4.486345,120.5,26.967999,31.644321,30.158819,150,2.8
8.546333,2.694462,30.618885,8.748253,2.266196,70.695023,0.841057,22.19482,3.185204,15.746076,4.55035,120,26.237158,31.195465,30.375879,150,
9.034167,2.727811,30.997849,8.856528,2.36643,75.846443,0.86752,22.548685,3.363675,16.010334,4.429892,122,27.804878,32.050999,29.528795,175,
9.537169,2.556855,29.05517,8.301477,2.209188,71.187897,0.864025,23.856857,2.983959,16.020584,4.406391,122,27.841976,32.223564,29.382187,175,
10.002668,2.961915,33.658131,9.616609,2.441608,76.598953,0.824334,21.482275,3.565682,15.689771,4.524964,122.5,25.86129,31.372335,30.31328,175,
10.519669,2.924146,33.228931,9.49398,2.483398,79.02018,0.849273,25.145069,3.142572,15.887935,4.461891,127,27.023336,31.819376,29.746159,175,
11.026668,2.898469,32.937153,9.410615,2.502465,79.415718,0.863375,21.696251,3.660343,15.941946,4.473614,129,27.399191,31.734999,29.847332,175,
11.533834,3.050956,34.669956,9.905702,2.653111,85.251472,0.8696,23.66086,3.603059,16.032377,4.418733,132,27.942543,32.132637,29.422289,175,3.4
12.033333,2.844782,32.327068,9.236305,2.473514,75.727455,0.869492,20.020021,3.782586,15.789129,4.635746,130,26.619776,30.61533,31.325079,200,
12.511333,3.183722,36.178654,10.336759,2.757201,87.009468,0.866031,25.104603,3.465877,15.926363,4.498591,130.5,27.329485,31.557171,30.103672,200,
13.029834,2.993146,34.013023,9.718007,2.594096,83.896469,0.866679,25.072323,3.346179,16.050646,4.390488,133,28.029526,32.341309,29.458178,200,
13.520835,3.238086,36.796425,10.513265,2.776014,88.989799,0.857301,24.439919,3.641166,15.963523,4.429137,135.5,27.482227,32.056683,29.434313,200,
14.031166,3.217571,36.563309,10.44666,2.758845,86.474968,0.857431,21.554539,4.011915,15.85133,4.528845,137,26.875854,31.344629,30.566839,200,
