TIME,VO2,VO2/kg,METS,VCO2,VE,RER,RR,Vt,FEO2,FECO2,HR,VE/,VE/,PetCO2
,STPD,STPD,,STPD,BTPS,,,BTPS,,,,VO2,VCO2,
min,L/min,ml/kg/m,,L/min,L/min,,BPM,L,%,%,bpm,BT/ST,BT/ST,mmHg
,,,,,,,,,,,,,,
0.534000039,1.031499386,13.84562969,3.955894232,0.921027899,32.77013397,0.892902017,24.34456825,1.346096277,16.59932327,3.995723009,82,31.76941681,35.57995987,27.01317215
1.031666636,1.078813553,14.48071861,4.137348175,0.941370487,32.80964661,0.872597933,22.10314941,1.484387875,16.42579842,4.078265667,36,30.4127121,34.85306549,27.12163162
1.521333337,0.999064684,13.41026402,3.831504107,0.884314001,29.55063248,0.885141909,18.37985039,1.607773304,16.28624344,4.251848698,56,29.57829666,33.41644669,28.35643578
2.003166676,1.156774282,15.52717113,4.43633461,0.995852172,32.44647217,0.86088717,18.67865944,1.737087846,16.05854034,4.359823227,27,28.04909515,32.58161545,29.16718483
2.507666588,1.121407986,15.0524559,4.300701618,0.962487578,31.22615242,0.85828495,15.8572855,1.969199061,16.02567291,4.37826252,27,27.84548759,32.44317627,29.20425415
3.000500202,1.127919674,15.13986111,4.325674534,0.973358154,32.01932144,0.86296761,18.26175117,1.75335443,16.11453247,4.31856966,84,28.38794518,32.89572525,28.69371033
3.523500443,1.081965089,14.5230217,4.149434566,0.917149305,30.95614624,0.847669959,22.94455147,1.349171996,16.16783142,4.209988594,84,28.61104012,33.75257111,28.03577995
4.014333725,1.101776361,14.78894424,4.225412846,0.925657749,31.96657372,0.840150297,24.4482193,1.307521582,16.24155235,4.115659237,84,29.01366806,34.53390121,27.38963318
4.508833408,1.0844419,14.55626678,4.158933163,0.887716174,30.37515831,0.818592668,22.24468994,1.365501523,16.09620857,4.153434277,84,28.00994492,34.21719742,27.49728012
5.005999565,1.383689046,18.57300758,5.306573391,1.169460773,38.66277313,0.845175982,20.11397934,1.922184229,16.0564003,4.297307014,56,27.94180679,33.06034088,28.71279907
5.516166687,1.500113726,20.13575554,5.753073215,1.280860305,40.07839584,0.853842139,19.60143852,2.044666052,15.82340431,4.538126469,87,26.71690559,31.29021645,30.23094749
6.005333424,1.480476737,19.8721714,5.677763462,1.285165191,39.3661232,0.868075252,22.48722267,1.750599623,15.78329754,4.634869576,118,26.59016609,30.6311779,30.79748154
6.505666256,1.652114153,22.17602921,6.336008549,1.445584774,44.77641678,0.87499088,21.98534393,2.036648512,15.87307072,4.583908081,119,27.10249519,30.97460365,30.54175568
7.024166107,1.531852841,20.56178284,5.87479496,1.353201509,43.75164032,0.883375645,27.00096321,1.620373368,16.12270355,4.393129349,120,28.5612545,32.33194733,29.56068039
7.500332355,1.574534655,21.13469315,6.03848362,1.385800481,44.71049881,0.88013339,23.10115433,1.935422659,16.09809303,4.402398586,118,28.39600754,32.26330185,29.26137924
8.024167061,1.555700064,20.88187981,5.966251373,1.371423841,41.62145996,0.881547689,24.81705093,1.677131534,15.80001259,4.677546024,122,26.75416756,30.34908676,30.97496605
8.504001617,1.857454538,24.93227577,7.1235075,1.605460644,51.42571259,0.864333749,25.00868416,2.05631423,15.99101067,4.433969975,123,27.68612099,32.03174973,29.74430656
9.044836044,1.790212393,24.02969742,6.865627766,1.619305611,50.82857132,0.904532671,24.03697968,2.114598989,16.07217789,4.523836136,126,28.39248085,31.38911629,30.13976669
9.53800106,1.697320461,22.78282547,6.50937891,1.513497353,45.82637405,0.891698062,22.30483246,2.054549217,15.83550453,4.68833828,125,26.9992466,30.27846336,31.22246361
10.03216839,1.850025773,24.83256149,7.095017433,1.637509108,50.17012405,0.885127723,22.25969696,2.253854752,15.86506271,4.633794785,125,27.11860847,30.63807297,30.66822624
10.50033379,1.818341494,24.40726852,6.973505497,1.626380801,49.15155029,0.894430876,23.49590683,2.091919661,15.8385067,4.697104931,131,27.03097916,30.22142792,31.25871849
11.0106678,2.043381453,27.42793846,7.83655405,1.836711168,54.23827744,0.898858666,21.55454063,2.516327143,15.74006653,4.806120396,133,26.54339409,29.5301075,31.80727196
11.51433372,2.04322505,27.42584038,7.835954189,1.855376959,53.85691452,0.908062935,19.85440063,2.712593317,15.69342899,4.888627052,134,26.358778,29.02747917,32.41422272
12.01299953,2.027150869,27.21007919,7.774308205,1.835914373,52.57475281,0.905662417,20.05347633,2.621727705,15.61065006,4.954776287,136.5,25.9352932,28.63682175,32.81459427
12.51466656,2.133090973,28.63209343,8.180598259,1.978045225,59.21075439,0.927314043,23.9202652,2.475338459,15.93700218,4.741752148,137,27.75819397,29.93397331,31.37359619
13.00666618,2.114412069,28.38137054,8.108963013,2.014659882,61.58247757,0.952822745,24.39024353,2.524881601,16.14553642,4.644300461,138,29.12510681,30.56718254,30.72572708
13.53483105,2.073571444,27.83317375,7.952335358,1.925287724,58.67926407,0.928488731,24.61344337,2.384033203,16.03113556,4.657797337,141,28.29864502,30.47817993,30.98711586
14.00383091,2.320527315,31.14801788,8.89943409,2.127481699,63.41721344,0.916809618,23.45415878,2.703879356,15.86987114,4.761553288,143,27.32879448,29.80858231,31.62016487
